ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Flux ([NII]6583) JADES	F_err([NII]6583) JADES
8013	8.47315					0.2994317027651776	0.0511732119503104	0.3200597162770404	0.1012536996992674	0.2193061047978313	0.0702730080473194	0.4504835098129616	0.1821871310152417	0.873130555336841	0.0689265952076285	1.3781766128157424	0.1787107718948799				
8079	7.258982					0.053531135695799	0.0278347087573882	0.0999653232127284	0.0423905067894635	0.0714114066787396	0.031631466192917	0.0630298927481289	0.0427124414134582	0.0800631841830228	0.0310254225095305	0.0421854538067058	0.0468427557268735				
8083	4.6487198664651	6.882685781445805	0.2390696371899053	7.429146490845964	0.4452150977529435	2.5185827564809453	0.0636228238303414	2.678046204133758	0.0980373564621595									0.4869062736244977	0.8092819146875666	0.6185302997796143	0.9585741169913096
8113	4.90277103561231	1.50070997509397	0.0492522953925745	1.785848901591545	0.0617509557763988					1.2395353878961335	0.0785744663964941	1.1626223524936945	0.0571680120965624	3.894120065979175	0.0770700651781872	3.764914160213515	0.0560771746749655	0.0117716726939712	0.2047071756781455	0.0466500579049357	0.2282865422352764
9422	5.935895					1.636731919228461	0.0380575600882087	2.0122085686403404	0.0395104313786079	3.0032331542570225	0.036830712785932	3.836711536288453	0.0572423972576317	8.600456659473696	0.0362868016711448	10.420072296471975	0.0561501404737962				
9452	5.12243857379367	1.2892504002651357	0.08115074754288	1.6170853137351795	0.2038618801812663	0.282038346026136	0.1735074424252105	0.0108637752082693	0.2703886411198296	0.8933430891810541	0.1950698055497366	0.1836501512285688	0.3706464106842385	2.7323321513690284	0.2066471841610087	3.386297433232642	0.3635740119752356	0.1180341856182064	0.1523178282397962	0.202363752117673	0.3802702978244031
9743	5.44012039584156	1.589994031140164	0.1035753123186388	2.458099768946839	0.2178261259527634	0.0446546222930433	0.155327519317934	0.2045883148418776	0.2719292950015343	0.5929341276741454	0.0722180058556123	1.02835170443843	0.2007498170716072	1.660497371452914	0.0817962729600748	2.3590909540590563	0.19691925860348	0.144382033373914	0.2638206572754377	0.2533354752698735	0.4289342381019279
16625	6.630648	1.239285830250872	0.0555908753526994	1.881366747629852	0.082977023528462	0.3846844584574226	0.0311484917891255	0.7170493805815538	0.0633952293283155	0.5352104517423425	0.0270977354219023	0.6482464878321798	0.0421219170748001	1.5733646729671944	0.0297141295511613	2.220229202366101	0.045261796284486	0.0748603942926395	0.1611723432975436	0.1116046135867527	0.2317370555348379
16745	5.56655234405774	2.264128225169156	0.0383005068625625	2.169486970313029	0.0553420574586636	0.7224768166341623	0.0638001319636898	0.4363121096056989	0.0924125941020615									0.0853079465448417	0.2294152952725452	0.0994290072649624	0.2305174181274244
17072	4.70200977971638	0.5258357585009059	0.0454050963900026	0.6604888869856645	0.0469471573932962	0.0487196304867499	0.0686250050274035	0.1086854293464592	0.0819066687893463	0.264482887499453	0.0682212757698392	0.0866627043273821	0.0733769184442994	0.6659741764710592	0.0671634878903198	0.6912100635329192	0.0719767947460235	0.0857399211854155	0.0583106687953711	0.0726619507185	0.0661427672856634
17260	4.88512714601353	0.3383567386918954	0.0396563707434188	0.3482635123092935	0.0410309027144576	0.0507262252500377	0.0508614069720495	0.0203911029764609	0.0798804846981224	0.0106338352975181	0.0695702867533441	0.1559310092002792	0.070799468079616	0.2715248210620623	0.0622845218118303	0.2213874758376893	0.0760770478603707	0.034415813840569	0.0511012927672419	0.0012396406797768	0.0662528064740239
17566	6.101534	1.928954227849252	0.13874006410015	1.4559810485902378	0.0889652002139281	0.8179389728622941	0.111345902438669	0.5998067594127028	0.0680576727111069	1.6796861953980409	0.132916014149623	1.0625101048824723	0.0906356244841028	4.791611438590089	0.1166063080672473	3.259276659190306	0.0889061830133975	0.176761166221402	0.2591244836277749	0.0224578433053411	0.2169187637286114
17777	4.13366013096712	0.7105645400085547	0.0413540043901747	0.6094302093764552	0.0564043353737402	0.1745488099551154	0.0644770966926165	0.3271535091038355	0.0852674120709161	0.5909286557396543	0.0472529659320017	0.6311780956274965	0.0780517941256848	1.6400775681204005	0.0463461031121716	1.7266476003841906	0.0765624679319937	0.0444919166428491	0.0897001728783685	0.0319824997405475	0.1091106291467491
18028	3.73094591607022	0.543460406197157	0.0886860909552932	0.9164026362366624	0.1340068757856071	0.1960306008112222	0.0881620808452276	0.5020692817809129	0.1017800569831372	0.2524828639137502	0.0896123608259278	0.2129207810681138	0.1059879506709032	0.838766382950462	0.0786091420292454	0.705067871214676	0.1039655675480356	0.1457134089001226	0.1218682898469156	0.3247968846720588	0.192112881339545
18090	4.77562372049334	3.666693740037747	0.0534493173722286	4.402930610981561	0.0915804692408836	1.5487508699799657	0.1358471033636754	1.7014086241875794	0.1321014679715317	3.6958836480598767	0.1134594721276692	3.720312256683592	0.1432329916044516	11.58790370827182	0.1218909067929207	11.697279523889604	0.1404999263548034	0.1709835655428597	0.4221232972948965	0.0785259984469346	0.5274742709618746
