ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Flux ([NII]6583) JADES	F_err([NII]6583) JADES	Optimal dline (Ha) MAST	Optimal dline (Ha) JADES	Optimal dline (Hb) MAST	Optimal dline (Hb) JADES	Optimal dline ([OIII]5007) MAST	Optimal dline ([OIII]4959) MAST	Optimal dline ([OIII]4959) JADES	Optimal dline ([OIII]5007) JADES	Optimal dline ([NII]6583) MAST	Optimal dline ([NII]6583) JADES
20961	7.04457065169479					0.12689033599248034	0.06458574869540898	0.5099552211214218	0.09144041374385478	0.24079706590438352	0.06546639095130012	0.4721390706334484	0.08716901209678064	0.6066511263474281	0.07179295612502228	0.9990796308294891	0.09559829889086773					5.0	5.0	5.0	8.0	5.0	5.0	5.0	5.0	5.0	5.0
22251	5.79838391626917	3.9961938312804994	0.09392200219033664	3.4435825265697275	0.07331228101273092	1.533265726273562	0.105058816835484	1.1107840765262038	0.07506542141072446	3.2342250769904117	0.0647299419495696	2.3724346017492097	0.05848570886775848	9.452353789572465	0.06348951899556755	6.648846868435063	0.05736972813793815	0.022878394810570205	0.5076373936487282	0.08811277315707058	0.43790181354080904	5.0	6.5	5.5	5.0	4.5	4.5	5.0	4.5	5.0	5.0
10000626	4.46468607001795	0.48971489162249926	0.025627095260966345	0.6588472034092361	0.045278805224561486													0.040123589529249	0.06317807989179725	0.07513916166720402	0.09035299041801986	7.0	7.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10001587	3.43070237834676	0.24738069080635922	0.027330393276897076	0.24058321191031345	0.05893773051860749													0.017195030945026633	0.047343362861163835	0.0720265058334486	0.0783045939915291	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10001892	4.770522	0.12094641867572815	0.025518326086907853	0.20921789107192043	0.030106577059434862									0.15288705201769254	0.016406147967545966	0.15426936930010623	0.03144179032591306	0.019478383370083594	0.027122509922057673	0.0462016662623199	0.045493770788360206	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10005113	5.820838					0.15659437321955483	0.03141467581686054	0.15914407243308049	0.04460190327646947	0.3020327243216247	0.03626136810453842	0.38793003237328294	0.051708581198618535	0.9192363307471927	0.03556803531058456	1.3284234729097246	0.05670882670046318					5.0	5.0	4.5	5.0	5.5	6.0	5.0	6.5	5.0	5.0
10005217	4.8883230178694	2.6788992028323584	0.03586948818904	3.4910272192429597	0.037634718292900084					0.942784318087068	0.04155644635565655	1.1914455832026483	0.06799486781474182	3.101676694830419	0.04706806114433592	4.1050996931596435	0.07701557033540654	0.022351111600787506	0.30013711829621814	0.012704543044063705	0.4548039612412601	5.5	6.5	5.0	5.0	5.0	4.5	5.0	5.0	5.0	5.0
10005447	6.62257640301802	0.23021391906614425	0.08592070985926016	0.25278966386637464	0.1276752867600906	0.002039262806763886	0.058007855219695856	0.1695589303721345	0.08577615885057858	0.07481499073636554	0.05882015449110199	0.14357487989039142	0.07642778653711962	0.32656285070718016	0.051595781421746804	0.5103739761991914	0.07496944844652292	0.07770373620199893	0.10772943692457	0.03535796970768937	0.13844472255897633	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10009506	3.59928686455817	4.424856658000526	0.06323214732276468	5.451180560085199	0.07772026416240495													0.1037369536516731	0.5899832201245265	0.23510024248757844	0.7373843891629146	4.5	5.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10009693	6.28599376348805	0.40204974792275483	0.085389162179732	0.7773699948258374	0.22228313480440773	0.08898098075667892	0.0799636536658618	0.0690842784124594	0.08858237900334193	0.0029640977265738776	0.06400460010261043	0.04291614476172262	0.09127334929644251	0.5300380319921012	0.0627833120013374	0.5007676091036933	0.08953173923591806	0.12817736537513008	0.10063088911814153	0.6961769230838696	0.22273899591928356	5.0	10.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	10.0
