NIRSpec_ID	redshift	JADES_FILENAME_F070LP-G140M	JADES_FILENAME_F170LP-G235M	JADES_FILENAME_F290LP-G395M	MAST_FILENAME_F070LP-G140M	MAST_FILENAME_F170LP-G235M	MAST_FILENAME_F290LP-G395M	NAME	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
18846	6.335054	hlsp_jades_jwst_nirspec_goods-s-deephst-00018846_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018846_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018846_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013197_nirspec_f290lp-g395m_x1d.fits	Rigoberta	6535	6615	4828	4891	4919	5043
18970	3.72458828704365	hlsp_jades_jwst_nirspec_goods-s-deephst-00018970_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018970_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018970_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000018970_nirspec_f290lp-g395m_x1d.fits	Lili	6535	6615	4828	4891	4919	5043
18976	6.327052	hlsp_jades_jwst_nirspec_goods-s-deephst-00018976_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018976_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00018976_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000008253_nirspec_f290lp-g395m_x1d.fits	Nataly	6549	6589	4838	4881	4931	5036
19342	5.974287	hlsp_jades_jwst_nirspec_goods-s-deephst-00019342_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00019342_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00019342_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009880_nirspec_f290lp-g395m_x1d.fits	Barbara	6532	6587	4830	4901	4918	5036
19519	3.60450973158305	hlsp_jades_jwst_nirspec_goods-s-deephst-00019519_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00019519_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00019519_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009873_nirspec_f290lp-g395m_x1d.fits	Paula	6495	6629	4792	4901	4910	5079
19606	5.88913558713673	hlsp_jades_jwst_nirspec_goods-s-deephst-00019606_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00019606_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00019606_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009414_nirspec_f290lp-g395m_x1d.fits	Itzel	6532	6596	4833	4893	4934	5038
20961	7.04457065169479	hlsp_jades_jwst_nirspec_goods-s-deephst-00020961_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00020961_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00020961_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_b000000167_nirspec_f290lp-g395m_x1d.fits	Tamara	6542	6543	4815	4890	4925	5044
22251	5.79838391626917	hlsp_jades_jwst_nirspec_goods-s-deephst-00022251_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00022251_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00022251_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009842_nirspec_f290lp-g395m_x1d.fits	Diana	6518	6597	4820	4896	4913	5041
10000626	4.46468607001795	hlsp_jades_jwst_nirspec_goods-s-deephst-10000626_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10000626_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10000626_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000000626_nirspec_f290lp-g395m_x1d.fits	Ulrica	6529	6615	4789	4889	4920	5068
10001587	3.43070237834676	hlsp_jades_jwst_nirspec_goods-s-deephst-10001587_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10001587_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10001587_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000001587_nirspec_f290lp-g395m_x1d.fits	Ofelia	6502	6600	4831	4882	4928	5025
10001892	4.770522	hlsp_jades_jwst_nirspec_goods-s-deephst-10001892_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10001892_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10001892_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000001892_nirspec_f290lp-g395m_x1d.fits	Fermina	6516	6595	4829	4905	4932	5027
10005113	5.820838	hlsp_jades_jwst_nirspec_goods-s-deephst-10005113_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10005113_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10005113_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000005113_nirspec_f290lp-g395m_x1d.fits	Alexa	6541	6592	4825	4899	4922	5034
10005217	4.8883230178694	hlsp_jades_jwst_nirspec_goods-s-deephst-10005217_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10005217_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10005217_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000005217_nirspec_f290lp-g395m_x1d.fits	Andrea	6517	6603	4803	4892	4907	5060
10005447	6.62257640301802	hlsp_jades_jwst_nirspec_goods-s-deephst-10005447_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10005447_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10005447_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000005447_nirspec_f290lp-g395m_x1d.fits	Tatiana	6538	6595	4829	4881	4922	5042
10009506	3.59928686455817	hlsp_jades_jwst_nirspec_goods-s-deephst-10009506_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10009506_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10009506_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009506_nirspec_f290lp-g395m_x1d.fits	Anhelia	6486	6619	4774	4883	4889	5086
10009693	6.28599376348805	hlsp_jades_jwst_nirspec_goods-s-deephst-10009693_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10009693_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10009693_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009693_nirspec_f290lp-g395m_x1d.fits	Julieta	6550	6610	4850	4896	4941	5034
